name,price,shop,sku,shop_type,detail_url,image_url,comment_num,tag
"骆驼冲锋衣男女三合一可拆卸防风防水登山外套 63514幻影黑,男女同款L",679.0,骆驼（CAMEL）官方京东自营专区,100035683581,自营,https://item.jd.com/100035683581.html,//img11.360buyimg.com/n7/jfs/t1/219334/34/30612/114759/6470c77cF48c4f91a/73ce94d145788454.jpg,10000,户外
尚烤佳 纯净水桶 储水桶 蓄水桶 家用储水桶 户外饮用水桶 广口大口水桶 车载水桶 自驾游水桶 带水龙头 22L,79.9,尚烤佳京东自营旗舰店,100007795659,自营,https://item.jd.com/100007795659.html,//img14.360buyimg.com/n7/jfs/t1/89794/34/21148/155279/641fbcddF73a74342/6ba57f107f5bb48a.jpg,20000,户外
骆驼（CAMEL）逍遥pro户外帐篷涂银防晒野营全自动速开帐露营装备 133BANA027-1,484.6,骆驼（CAMEL）户外装备京东自营旗舰店,100044774112,自营,https://item.jd.com/100044774112.html,//img12.360buyimg.com/n7/jfs/t1/180097/3/33249/196312/63f6c16bF8341b011/12906f0812a0b3f3.jpg,1000,户外
京东京造 自动充气床垫 双人升级厚款 5cm床垫户外露营装备野营家用充气床,259.0,京东京造自营官方旗舰店,100042875062,自营,https://item.jd.com/100042875062.html,//img12.360buyimg.com/n7/jfs/t1/140959/22/33484/101341/63f73014F82d31652/be45804ef4082192.jpg,5000,户外
MADNESS HOUSE潮牌山系户外三合一防水冲锋衣男女款美式机能夹克外套内胆两件套 黑色（三合一冲锋衣） XL (建议145-165斤）,398.0,MADNESS HOUSE浦里专卖店,10079094811482,非自营,https://item.jd.com/10079094811482.html,//img12.360buyimg.com/n7/jfs/t1/99242/23/40839/34864/64982636F6a28ee3a/50ae4ac4e6f81fe1.jpg,40,户外
云伴（YUNBAN）自动充气床垫户外露营野餐垫气垫床便携式打地铺防潮垫露营装备 卡其色单人款【3cm】,96.0,云伴旗舰店,10071573153070,非自营,https://item.jd.com/10071573153070.html,//img10.360buyimg.com/n7/jfs/t1/108164/27/39496/93484/6438e995Fffa02d95/475dd7f7cda4e1dd.jpg,1000,户外
迈牛（MYNEW）天幕户外露营防晒黑胶涂银多人免搭建速开遮阳棚便携式沙滩公园伞 4.6米六角天幕-黑胶2-15人,849.0,迈牛专卖店,10071796023007,非自营,https://item.jd.com/10071796023007.html,//img12.360buyimg.com/n7/jfs/t1/58142/24/21933/167070/64218788F3173c966/89f274494c51078e.jpg,500,户外
热带熊（TROPICAL BEAR）全自动帐篷户外防雨野营双层免搭建2-3人野外露营帐篷 墨绿+防潮垫【200*150*135】,99.0,热带熊运动户外旗舰店,10071074045804,非自营,https://item.jd.com/10071074045804.html,//img14.360buyimg.com/n7/jfs/t1/136114/20/35580/73282/64142dc1F354ed730/263596381cad6dfb.jpg,2000,户外
探险者（TAN XIAN ZHE）户外锅具露营炊具套装便携式野外野营餐装备套锅水壶煎锅 4-7人套锅组合【全套折叠收纳】,159.0,探险者运动户外旗舰店,10056183944037,非自营,https://item.jd.com/10056183944037.html,//img12.360buyimg.com/n7/jfs/t1/196533/29/33801/174130/645ca73cFcc7e7aed/009ea513b0c4ec97.jpg,5000,户外
欧菲斯（OFEIS） 德国户外锅具三合一茶壶煎锅野炊野餐炉套锅烧水壶野营露营装备 超轻铝合金套锅（ 十件套）,129.0,OFEIS京东自营旗舰店,10066211078214,自营,https://item.jd.com/10066211078214.html,//img14.360buyimg.com/n7/jfs/t1/140516/24/36358/123810/649efbc6F43cfc015/212d98925c65251d.jpg,2000,户外
MADNESS HOUSE潮牌山系户外冲锋衣夹克男女款美式机能防水防风露营旅游休闲外套 黑色(美式机能冲锋衣男女同款) XL (建议125-150斤）,398.0,MADNESS HOUSE浦里专卖店,10079093583093,非自营,https://item.jd.com/10079093583093.html,//img13.360buyimg.com/n7/jfs/t1/128836/1/34913/29692/64982653F195f154a/efcbcb6913d247e3.jpg,20,户外
迪卡侬户外折叠椅便携舒适折叠扶手椅子躺椅钓鱼椅QUNC2962552均码,299.8,迪卡侬京东自营旗舰店,100020574828,自营,https://item.jd.com/100020574828.html,//img13.360buyimg.com/n7/jfs/t1/92465/2/41893/56887/64b328daF0bf93c5b/97cfd90c93916cda.jpg,2000,户外
探路蜂户外折叠椅儿童便携式野餐椅子超轻野营马扎露营美术生写生 中号折叠椅(36cm*36cm*60cm),14.0,探路蜂旗舰店,10077817426884,非自营,https://item.jd.com/10077817426884.html,//img14.360buyimg.com/n7/jfs/t1/168687/25/38299/65079/64af9bc0F9aec68bf/d0bbcf8dd4a6de67.jpg,2000,户外
